#Time=   0.145000E+08
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.201757E-01   0.200000E-01   0.200000E-01   0.201757E-01   0.200000E-01
   0.400000E-01   0.403508E-01   0.400000E-01   0.400000E-01   0.403508E-01   0.400000E-01
   0.600000E-01   0.605244E-01   0.600000E-01   0.600000E-01   0.605244E-01   0.600000E-01
   0.800000E-01   0.806960E-01   0.800000E-01   0.800000E-01   0.806960E-01   0.800000E-01
   0.100000       0.100865       0.100000       0.100000       0.100865       0.100000    
   0.120000       0.121030       0.120000       0.120000       0.121030       0.120000    
   0.140000       0.141192       0.140000       0.140000       0.141192       0.140000    
   0.160000       0.161348       0.160000       0.160000       0.161348       0.160000    
   0.180000       0.181500       0.180000       0.180000       0.181500       0.180000    
   0.200000       0.201645       0.200000       0.200000       0.201645       0.200000    
   0.220000       0.221784       0.220000       0.220000       0.221784       0.220000    
   0.240000       0.241916       0.240000       0.240000       0.241916       0.240000    
   0.260000       0.262040       0.260000       0.260000       0.262040       0.260000    
   0.280000       0.282157       0.280000       0.280000       0.282157       0.280000    
   0.300000       0.302264       0.300000       0.300000       0.302264       0.300000    
   0.320000       0.322363       0.320000       0.320000       0.322363       0.320000    
   0.340000       0.342453       0.340000       0.340000       0.342453       0.340000    
   0.360000       0.362532       0.360000       0.360000       0.362532       0.360000    
   0.380000       0.382602       0.380000       0.380000       0.382602       0.380000    
   0.400000       0.402662       0.400000       0.400000       0.402662       0.400000    
   0.420000       0.422711       0.420000       0.420000       0.422711       0.420000    
   0.440000       0.442749       0.440000       0.440000       0.442749       0.440000    
   0.460000       0.462777       0.460000       0.460000       0.462777       0.460000    
   0.480000       0.482793       0.480000       0.480000       0.482793       0.480000    
   0.500000       0.502799       0.500000       0.500000       0.502799       0.500000    
   0.520000       0.522793       0.520000       0.520000       0.522793       0.520000    
   0.540000       0.542777       0.540000       0.540000       0.542777       0.540000    
   0.560000       0.562749       0.560000       0.560000       0.562749       0.560000    
   0.580000       0.582711       0.580000       0.580000       0.582711       0.580000    
   0.600000       0.602662       0.600000       0.600000       0.602662       0.600000    
   0.620000       0.622602       0.620000       0.620000       0.622602       0.620000    
   0.640000       0.642532       0.640000       0.640000       0.642532       0.640000    
   0.660000       0.662453       0.660000       0.660000       0.662453       0.660000    
   0.680000       0.682363       0.680000       0.680000       0.682363       0.680000    
   0.700000       0.702264       0.700000       0.700000       0.702264       0.700000    
   0.720000       0.722157       0.720000       0.720000       0.722157       0.720000    
   0.740000       0.742040       0.740000       0.740000       0.742040       0.740000    
   0.760000       0.761916       0.760000       0.760000       0.761916       0.760000    
   0.780000       0.781784       0.780000       0.780000       0.781784       0.780000    
   0.800000       0.801645       0.800000       0.800000       0.801645       0.800000    
   0.820000       0.821500       0.820000       0.820000       0.821500       0.820000    
   0.840000       0.841348       0.840000       0.840000       0.841348       0.840000    
   0.860000       0.861192       0.860000       0.860000       0.861192       0.860000    
   0.880000       0.881030       0.880000       0.880000       0.881030       0.880000    
   0.900000       0.900865       0.900000       0.900000       0.900865       0.900000    
   0.920000       0.920696       0.920000       0.920000       0.920696       0.920000    
   0.940000       0.940524       0.940000       0.940000       0.940524       0.940000    
   0.960000       0.960351       0.960000       0.960000       0.960351       0.960000    
   0.980000       0.980176       0.980000       0.980000       0.980176       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
