#Time=   0.140000E+08
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.202152E-01   0.200000E-01   0.200000E-01   0.202152E-01   0.200000E-01
   0.400000E-01   0.404296E-01   0.400000E-01   0.400000E-01   0.404296E-01   0.400000E-01
   0.600000E-01   0.606423E-01   0.600000E-01   0.600000E-01   0.606423E-01   0.600000E-01
   0.800000E-01   0.808524E-01   0.800000E-01   0.800000E-01   0.808524E-01   0.800000E-01
   0.100000       0.101059       0.100000       0.100000       0.101059       0.100000    
   0.120000       0.121262       0.120000       0.120000       0.121262       0.120000    
   0.140000       0.141459       0.140000       0.140000       0.141459       0.140000    
   0.160000       0.161651       0.160000       0.160000       0.161651       0.160000    
   0.180000       0.181837       0.180000       0.180000       0.181837       0.180000    
   0.200000       0.202015       0.200000       0.200000       0.202015       0.200000    
   0.220000       0.222185       0.220000       0.220000       0.222185       0.220000    
   0.240000       0.242346       0.240000       0.240000       0.242346       0.240000    
   0.260000       0.262499       0.260000       0.260000       0.262499       0.260000    
   0.280000       0.282641       0.280000       0.280000       0.282641       0.280000    
   0.300000       0.302773       0.300000       0.300000       0.302773       0.300000    
   0.320000       0.322894       0.320000       0.320000       0.322894       0.320000    
   0.340000       0.343004       0.340000       0.340000       0.343004       0.340000    
   0.360000       0.363102       0.360000       0.360000       0.363102       0.360000    
   0.380000       0.383187       0.380000       0.380000       0.383187       0.380000    
   0.400000       0.403260       0.400000       0.400000       0.403260       0.400000    
   0.420000       0.423320       0.420000       0.420000       0.423320       0.420000    
   0.440000       0.443367       0.440000       0.440000       0.443367       0.440000    
   0.460000       0.463401       0.460000       0.460000       0.463401       0.460000    
   0.480000       0.483421       0.480000       0.480000       0.483421       0.480000    
   0.500000       0.503428       0.500000       0.500000       0.503428       0.500000    
   0.520000       0.523421       0.520000       0.520000       0.523421       0.520000    
   0.540000       0.543401       0.540000       0.540000       0.543401       0.540000    
   0.560000       0.563367       0.560000       0.560000       0.563367       0.560000    
   0.580000       0.583320       0.580000       0.580000       0.583320       0.580000    
   0.600000       0.603260       0.600000       0.600000       0.603260       0.600000    
   0.620000       0.623187       0.620000       0.620000       0.623187       0.620000    
   0.640000       0.643102       0.640000       0.640000       0.643102       0.640000    
   0.660000       0.663004       0.660000       0.660000       0.663004       0.660000    
   0.680000       0.682894       0.680000       0.680000       0.682894       0.680000    
   0.700000       0.702773       0.700000       0.700000       0.702773       0.700000    
   0.720000       0.722641       0.720000       0.720000       0.722641       0.720000    
   0.740000       0.742499       0.740000       0.740000       0.742499       0.740000    
   0.760000       0.762346       0.760000       0.760000       0.762346       0.760000    
   0.780000       0.782185       0.780000       0.780000       0.782185       0.780000    
   0.800000       0.802015       0.800000       0.800000       0.802015       0.800000    
   0.820000       0.821837       0.820000       0.820000       0.821837       0.820000    
   0.840000       0.841651       0.840000       0.840000       0.841651       0.840000    
   0.860000       0.861459       0.860000       0.860000       0.861459       0.860000    
   0.880000       0.881262       0.880000       0.880000       0.881262       0.880000    
   0.900000       0.901059       0.900000       0.900000       0.901059       0.900000    
   0.920000       0.920852       0.920000       0.920000       0.920852       0.920000    
   0.940000       0.940642       0.940000       0.940000       0.940642       0.940000    
   0.960000       0.960430       0.960000       0.960000       0.960430       0.960000    
   0.980000       0.980215       0.980000       0.980000       0.980215       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
