#Time=   0.600000E+07
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.255140E-01   0.200000E-01   0.200000E-01   0.255140E-01   0.200000E-01
   0.400000E-01   0.510063E-01   0.400000E-01   0.400000E-01   0.510063E-01   0.400000E-01
   0.600000E-01   0.764551E-01   0.600000E-01   0.600000E-01   0.764551E-01   0.600000E-01
   0.800000E-01   0.101839       0.800000E-01   0.800000E-01   0.101839       0.800000E-01
   0.100000       0.127137       0.100000       0.100000       0.127137       0.100000    
   0.120000       0.152327       0.120000       0.120000       0.152327       0.120000    
   0.140000       0.177390       0.140000       0.140000       0.177390       0.140000    
   0.160000       0.202306       0.160000       0.160000       0.202306       0.160000    
   0.180000       0.227054       0.180000       0.180000       0.227054       0.180000    
   0.200000       0.251617       0.200000       0.200000       0.251617       0.200000    
   0.220000       0.275976       0.220000       0.220000       0.275976       0.220000    
   0.240000       0.300114       0.240000       0.240000       0.300114       0.240000    
   0.260000       0.324015       0.260000       0.260000       0.324015       0.260000    
   0.280000       0.347664       0.280000       0.280000       0.347664       0.280000    
   0.300000       0.371045       0.300000       0.300000       0.371045       0.300000    
   0.320000       0.394146       0.320000       0.320000       0.394146       0.320000    
   0.340000       0.416954       0.340000       0.340000       0.416954       0.340000    
   0.360000       0.439459       0.360000       0.360000       0.439459       0.360000    
   0.380000       0.461649       0.380000       0.380000       0.461649       0.380000    
   0.400000       0.483518       0.400000       0.400000       0.483518       0.400000    
   0.420000       0.505057       0.420000       0.420000       0.505057       0.420000    
   0.440000       0.526261       0.440000       0.440000       0.526261       0.440000    
   0.460000       0.547124       0.460000       0.460000       0.547124       0.460000    
   0.480000       0.567643       0.480000       0.480000       0.567643       0.480000    
   0.500000       0.587816       0.500000       0.500000       0.587816       0.500000    
   0.520000       0.607643       0.520000       0.520000       0.607643       0.520000    
   0.540000       0.627124       0.540000       0.540000       0.627124       0.540000    
   0.560000       0.646261       0.560000       0.560000       0.646261       0.560000    
   0.580000       0.665057       0.580000       0.580000       0.665057       0.580000    
   0.600000       0.683518       0.600000       0.600000       0.683518       0.600000    
   0.620000       0.701649       0.620000       0.620000       0.701649       0.620000    
   0.640000       0.719459       0.640000       0.640000       0.719459       0.640000    
   0.660000       0.736954       0.660000       0.660000       0.736954       0.660000    
   0.680000       0.754146       0.680000       0.680000       0.754146       0.680000    
   0.700000       0.771045       0.700000       0.700000       0.771045       0.700000    
   0.720000       0.787664       0.720000       0.720000       0.787664       0.720000    
   0.740000       0.804015       0.740000       0.740000       0.804015       0.740000    
   0.760000       0.820114       0.760000       0.760000       0.820114       0.760000    
   0.780000       0.835976       0.780000       0.780000       0.835976       0.780000    
   0.800000       0.851617       0.800000       0.800000       0.851617       0.800000    
   0.820000       0.867054       0.820000       0.820000       0.867054       0.820000    
   0.840000       0.882306       0.840000       0.840000       0.882306       0.840000    
   0.860000       0.897390       0.860000       0.860000       0.897390       0.860000    
   0.880000       0.912327       0.880000       0.880000       0.912327       0.880000    
   0.900000       0.927137       0.900000       0.900000       0.927137       0.900000    
   0.920000       0.941839       0.920000       0.920000       0.941839       0.920000    
   0.940000       0.956455       0.940000       0.940000       0.956455       0.940000    
   0.960000       0.971006       0.960000       0.960000       0.971006       0.960000    
   0.980000       0.985514       0.980000       0.980000       0.985514       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
