#Time=   0.180000E+08
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200425E-01   0.200000E-01   0.200000E-01   0.200425E-01   0.200000E-01
   0.400000E-01   0.400849E-01   0.400000E-01   0.400000E-01   0.400849E-01   0.400000E-01
   0.600000E-01   0.601269E-01   0.600000E-01   0.600000E-01   0.601269E-01   0.600000E-01
   0.800000E-01   0.801684E-01   0.800000E-01   0.800000E-01   0.801684E-01   0.800000E-01
   0.100000       0.100209       0.100000       0.100000       0.100209       0.100000    
   0.120000       0.120249       0.120000       0.120000       0.120249       0.120000    
   0.140000       0.140288       0.140000       0.140000       0.140288       0.140000    
   0.160000       0.160326       0.160000       0.160000       0.160326       0.160000    
   0.180000       0.180363       0.180000       0.180000       0.180363       0.180000    
   0.200000       0.200398       0.200000       0.200000       0.200398       0.200000    
   0.220000       0.220432       0.220000       0.220000       0.220432       0.220000    
   0.240000       0.240464       0.240000       0.240000       0.240464       0.240000    
   0.260000       0.260494       0.260000       0.260000       0.260494       0.260000    
   0.280000       0.280522       0.280000       0.280000       0.280522       0.280000    
   0.300000       0.300548       0.300000       0.300000       0.300548       0.300000    
   0.320000       0.320572       0.320000       0.320000       0.320572       0.320000    
   0.340000       0.340593       0.340000       0.340000       0.340593       0.340000    
   0.360000       0.360613       0.360000       0.360000       0.360613       0.360000    
   0.380000       0.380630       0.380000       0.380000       0.380630       0.380000    
   0.400000       0.400644       0.400000       0.400000       0.400644       0.400000    
   0.420000       0.420656       0.420000       0.420000       0.420656       0.420000    
   0.440000       0.440665       0.440000       0.440000       0.440665       0.440000    
   0.460000       0.460672       0.460000       0.460000       0.460672       0.460000    
   0.480000       0.480676       0.480000       0.480000       0.480676       0.480000    
   0.500000       0.500677       0.500000       0.500000       0.500677       0.500000    
   0.520000       0.520676       0.520000       0.520000       0.520676       0.520000    
   0.540000       0.540672       0.540000       0.540000       0.540672       0.540000    
   0.560000       0.560665       0.560000       0.560000       0.560665       0.560000    
   0.580000       0.580656       0.580000       0.580000       0.580656       0.580000    
   0.600000       0.600644       0.600000       0.600000       0.600644       0.600000    
   0.620000       0.620630       0.620000       0.620000       0.620630       0.620000    
   0.640000       0.640613       0.640000       0.640000       0.640613       0.640000    
   0.660000       0.660593       0.660000       0.660000       0.660593       0.660000    
   0.680000       0.680572       0.680000       0.680000       0.680572       0.680000    
   0.700000       0.700548       0.700000       0.700000       0.700548       0.700000    
   0.720000       0.720522       0.720000       0.720000       0.720522       0.720000    
   0.740000       0.740494       0.740000       0.740000       0.740494       0.740000    
   0.760000       0.760464       0.760000       0.760000       0.760464       0.760000    
   0.780000       0.780432       0.780000       0.780000       0.780432       0.780000    
   0.800000       0.800398       0.800000       0.800000       0.800398       0.800000    
   0.820000       0.820363       0.820000       0.820000       0.820363       0.820000    
   0.840000       0.840326       0.840000       0.840000       0.840326       0.840000    
   0.860000       0.860288       0.860000       0.860000       0.860288       0.860000    
   0.880000       0.880249       0.880000       0.880000       0.880249       0.880000    
   0.900000       0.900209       0.900000       0.900000       0.900209       0.900000    
   0.920000       0.920168       0.920000       0.920000       0.920168       0.920000    
   0.940000       0.940127       0.940000       0.940000       0.940127       0.940000    
   0.960000       0.960085       0.960000       0.960000       0.960085       0.960000    
   0.980000       0.980043       0.980000       0.980000       0.980043       0.980000    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
