#Time=   0.300000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.232635E-01   0.232509E-01   0.200000E-01   0.232635E-01   0.232509E-01
   0.400000E-01   0.465142E-01   0.464889E-01   0.400000E-01   0.465142E-01   0.464889E-01
   0.600000E-01   0.697392E-01   0.697013E-01   0.600000E-01   0.697392E-01   0.697013E-01
   0.800000E-01   0.929257E-01   0.928755E-01   0.800000E-01   0.929257E-01   0.928755E-01
   0.100000       0.116061       0.115999       0.100000       0.116061       0.115999    
   0.120000       0.139133       0.139059       0.120000       0.139133       0.139059    
   0.140000       0.162130       0.162044       0.140000       0.162130       0.162044    
   0.160000       0.185039       0.184942       0.160000       0.185039       0.184942    
   0.180000       0.207850       0.207742       0.180000       0.207850       0.207742    
   0.200000       0.230550       0.230432       0.200000       0.230550       0.230432    
   0.220000       0.253130       0.253002       0.220000       0.253130       0.253002    
   0.240000       0.275579       0.275441       0.240000       0.275579       0.275441    
   0.260000       0.297888       0.297741       0.260000       0.297888       0.297741    
   0.280000       0.320047       0.319892       0.280000       0.320047       0.319892    
   0.300000       0.342049       0.341885       0.300000       0.342049       0.341885    
   0.320000       0.363884       0.363714       0.320000       0.363884       0.363714    
   0.340000       0.385546       0.385369       0.340000       0.385546       0.385369    
   0.360000       0.407028       0.406846       0.360000       0.407028       0.406846    
   0.380000       0.428325       0.428138       0.380000       0.428325       0.428138    
   0.400000       0.449431       0.449239       0.400000       0.449431       0.449239    
   0.420000       0.470342       0.470147       0.420000       0.470342       0.470147    
   0.440000       0.491054       0.490856       0.440000       0.491054       0.490856    
   0.460000       0.511565       0.511365       0.460000       0.511565       0.511365    
   0.480000       0.531873       0.531671       0.480000       0.531873       0.531671    
   0.500000       0.551975       0.551773       0.500000       0.551975       0.551773    
   0.520000       0.571873       0.571671       0.520000       0.571873       0.571671    
   0.540000       0.591565       0.591365       0.540000       0.591565       0.591365    
   0.560000       0.611054       0.610856       0.560000       0.611054       0.610856    
   0.580000       0.630342       0.630147       0.580000       0.630342       0.630147    
   0.600000       0.649431       0.649239       0.600000       0.649431       0.649239    
   0.620000       0.668325       0.668138       0.620000       0.668325       0.668138    
   0.640000       0.687028       0.686846       0.640000       0.687028       0.686846    
   0.660000       0.705546       0.705369       0.660000       0.705546       0.705369    
   0.680000       0.723884       0.723714       0.680000       0.723884       0.723714    
   0.700000       0.742049       0.741885       0.700000       0.742049       0.741885    
   0.720000       0.760047       0.759892       0.720000       0.760047       0.759892    
   0.740000       0.777888       0.777741       0.740000       0.777888       0.777741    
   0.760000       0.795579       0.795441       0.760000       0.795579       0.795441    
   0.780000       0.813130       0.813002       0.780000       0.813130       0.813002    
   0.800000       0.830550       0.830432       0.800000       0.830550       0.830432    
   0.820000       0.847850       0.847742       0.820000       0.847850       0.847742    
   0.840000       0.865039       0.864942       0.840000       0.865039       0.864942    
   0.860000       0.882130       0.882044       0.860000       0.882130       0.882044    
   0.880000       0.899133       0.899059       0.880000       0.899133       0.899059    
   0.900000       0.916061       0.915999       0.900000       0.916061       0.915999    
   0.920000       0.932926       0.932875       0.920000       0.932926       0.932875    
   0.940000       0.949739       0.949701       0.940000       0.949739       0.949701    
   0.960000       0.966514       0.966489       0.960000       0.966514       0.966489    
   0.980000       0.983264       0.983251       0.980000       0.983264       0.983251    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
