#Time=   0.100000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.433873E-01   0.434025E-01   0.200000E-01   0.433873E-01   0.434025E-01
   0.400000E-01   0.866823E-01   0.867127E-01   0.400000E-01   0.866823E-01   0.867127E-01
   0.600000E-01   0.129793       0.129838       0.600000E-01   0.129793       0.129838    
   0.800000E-01   0.172628       0.172689       0.800000E-01   0.172628       0.172689    
   0.100000       0.215098       0.215173       0.100000       0.215098       0.215173    
   0.120000       0.257114       0.257203       0.120000       0.257114       0.257203    
   0.140000       0.298588       0.298691       0.140000       0.298588       0.298691    
   0.160000       0.339437       0.339553       0.160000       0.339437       0.339553    
   0.180000       0.379577       0.379707       0.180000       0.379577       0.379707    
   0.200000       0.418930       0.419072       0.200000       0.418930       0.419072    
   0.220000       0.457419       0.457573       0.220000       0.457419       0.457573    
   0.240000       0.494970       0.495136       0.240000       0.494970       0.495136    
   0.260000       0.531516       0.531692       0.260000       0.531516       0.531692    
   0.280000       0.566990       0.567176       0.280000       0.566990       0.567176    
   0.300000       0.601331       0.601527       0.300000       0.601331       0.601527    
   0.320000       0.634483       0.634688       0.320000       0.634483       0.634688    
   0.340000       0.666394       0.666606       0.340000       0.666394       0.666606    
   0.360000       0.697017       0.697236       0.360000       0.697017       0.697236    
   0.380000       0.726310       0.726535       0.380000       0.726310       0.726535    
   0.400000       0.754236       0.754466       0.400000       0.754236       0.754466    
   0.420000       0.780764       0.780999       0.420000       0.780764       0.780999    
   0.440000       0.805868       0.806106       0.440000       0.805868       0.806106    
   0.460000       0.829529       0.829769       0.460000       0.829529       0.829769    
   0.480000       0.851731       0.851972       0.480000       0.851731       0.851972    
   0.500000       0.872466       0.872708       0.500000       0.872466       0.872708    
   0.520000       0.891731       0.891972       0.520000       0.891731       0.891972    
   0.540000       0.909529       0.909769       0.540000       0.909529       0.909769    
   0.560000       0.925868       0.926106       0.560000       0.925868       0.926106    
   0.580000       0.940764       0.940999       0.580000       0.940764       0.940999    
   0.600000       0.954236       0.954466       0.600000       0.954236       0.954466    
   0.620000       0.966310       0.966535       0.620000       0.966310       0.966535    
   0.640000       0.977017       0.977236       0.640000       0.977017       0.977236    
   0.660000       0.986394       0.986606       0.660000       0.986394       0.986606    
   0.680000       0.994483       0.994688       0.680000       0.994483       0.994688    
   0.700000        1.00133        1.00153       0.700000        1.00133        1.00153    
   0.720000        1.00699        1.00718       0.720000        1.00699        1.00718    
   0.740000        1.01152        1.01169       0.740000        1.01152        1.01169    
   0.760000        1.01497        1.01514       0.760000        1.01497        1.01514    
   0.780000        1.01742        1.01757       0.780000        1.01742        1.01757    
   0.800000        1.01893        1.01907       0.800000        1.01893        1.01907    
   0.820000        1.01958        1.01971       0.820000        1.01958        1.01971    
   0.840000        1.01944        1.01955       0.840000        1.01944        1.01955    
   0.860000        1.01859        1.01869       0.860000        1.01859        1.01869    
   0.880000        1.01711        1.01720       0.880000        1.01711        1.01720    
   0.900000        1.01510        1.01517       0.900000        1.01510        1.01517    
   0.920000        1.01263        1.01269       0.920000        1.01263        1.01269    
   0.940000        1.00979        1.00984       0.940000        1.00979        1.00984    
   0.960000        1.00668        1.00671       0.960000        1.00668        1.00671    
   0.980000        1.00339        1.00340       0.980000        1.00339        1.00340    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
