#Time=   0.200000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.287450E-01   0.287223E-01   0.200000E-01   0.287450E-01   0.287223E-01
   0.400000E-01   0.574554E-01   0.574102E-01   0.400000E-01   0.574554E-01   0.574102E-01
   0.600000E-01   0.860969E-01   0.860294E-01   0.600000E-01   0.860969E-01   0.860294E-01
   0.800000E-01   0.114636       0.114546       0.800000E-01   0.114636       0.114546    
   0.100000       0.143037       0.142926       0.100000       0.143037       0.142926    
   0.120000       0.171269       0.171137       0.120000       0.171269       0.171137    
   0.140000       0.199299       0.199145       0.140000       0.199299       0.199145    
   0.160000       0.227095       0.226921       0.160000       0.227095       0.226921    
   0.180000       0.254626       0.254432       0.180000       0.254626       0.254432    
   0.200000       0.281862       0.281650       0.200000       0.281862       0.281650    
   0.220000       0.308775       0.308545       0.220000       0.308775       0.308545    
   0.240000       0.335338       0.335091       0.240000       0.335338       0.335091    
   0.260000       0.361525       0.361262       0.260000       0.361525       0.361262    
   0.280000       0.387311       0.387033       0.280000       0.387311       0.387033    
   0.300000       0.412673       0.412381       0.300000       0.412673       0.412381    
   0.320000       0.437591       0.437287       0.320000       0.437591       0.437287    
   0.340000       0.462045       0.461729       0.340000       0.462045       0.461729    
   0.360000       0.486017       0.485691       0.360000       0.486017       0.485691    
   0.380000       0.509492       0.509156       0.380000       0.509492       0.509156    
   0.400000       0.532455       0.532112       0.400000       0.532455       0.532112    
   0.420000       0.554896       0.554547       0.420000       0.554896       0.554547    
   0.440000       0.576805       0.576451       0.440000       0.576805       0.576451    
   0.460000       0.598174       0.597816       0.460000       0.598174       0.597816    
   0.480000       0.618997       0.618637       0.480000       0.618997       0.618637    
   0.500000       0.639272       0.638911       0.500000       0.639272       0.638911    
   0.520000       0.658997       0.658637       0.520000       0.658997       0.658637    
   0.540000       0.678174       0.677816       0.540000       0.678174       0.677816    
   0.560000       0.696805       0.696451       0.560000       0.696805       0.696451    
   0.580000       0.714896       0.714547       0.580000       0.714896       0.714547    
   0.600000       0.732455       0.732112       0.600000       0.732455       0.732112    
   0.620000       0.749492       0.749156       0.620000       0.749492       0.749156    
   0.640000       0.766017       0.765691       0.640000       0.766017       0.765691    
   0.660000       0.782045       0.781729       0.660000       0.782045       0.781729    
   0.680000       0.797591       0.797287       0.680000       0.797591       0.797287    
   0.700000       0.812673       0.812381       0.700000       0.812673       0.812381    
   0.720000       0.827311       0.827033       0.720000       0.827311       0.827033    
   0.740000       0.841525       0.841262       0.740000       0.841525       0.841262    
   0.760000       0.855338       0.855091       0.760000       0.855338       0.855091    
   0.780000       0.868775       0.868545       0.780000       0.868775       0.868545    
   0.800000       0.881862       0.881650       0.800000       0.881862       0.881650    
   0.820000       0.894626       0.894432       0.820000       0.894626       0.894432    
   0.840000       0.907095       0.906921       0.840000       0.907095       0.906921    
   0.860000       0.919299       0.919145       0.860000       0.919299       0.919145    
   0.880000       0.931269       0.931137       0.880000       0.931269       0.931137    
   0.900000       0.943037       0.942926       0.900000       0.943037       0.942926    
   0.920000       0.954636       0.954546       0.920000       0.954636       0.954546    
   0.940000       0.966097       0.966029       0.940000       0.966097       0.966029    
   0.960000       0.977455       0.977410       0.960000       0.977455       0.977410    
   0.980000       0.988745       0.988722       0.980000       0.988745       0.988722    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
