#Time=   0.160000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.329512E-01   0.329445E-01   0.200000E-01   0.329512E-01   0.329445E-01
   0.400000E-01   0.658512E-01   0.658378E-01   0.400000E-01   0.658512E-01   0.658378E-01
   0.600000E-01   0.986493E-01   0.986292E-01   0.600000E-01   0.986493E-01   0.986292E-01
   0.800000E-01   0.131295       0.131268       0.800000E-01   0.131295       0.131268    
   0.100000       0.163738       0.163705       0.100000       0.163738       0.163705    
   0.120000       0.195929       0.195890       0.120000       0.195929       0.195890    
   0.140000       0.227821       0.227776       0.140000       0.227821       0.227776    
   0.160000       0.259367       0.259315       0.160000       0.259367       0.259315    
   0.180000       0.290520       0.290462       0.180000       0.290520       0.290462    
   0.200000       0.321237       0.321174       0.200000       0.321237       0.321174    
   0.220000       0.351475       0.351407       0.220000       0.351475       0.351407    
   0.240000       0.381195       0.381121       0.240000       0.381195       0.381121    
   0.260000       0.410357       0.410279       0.260000       0.410357       0.410279    
   0.280000       0.438926       0.438844       0.280000       0.438926       0.438844    
   0.300000       0.466868       0.466781       0.300000       0.466868       0.466781    
   0.320000       0.494151       0.494061       0.320000       0.494151       0.494061    
   0.340000       0.520747       0.520653       0.340000       0.520747       0.520653    
   0.360000       0.546630       0.546533       0.360000       0.546630       0.546533    
   0.380000       0.571776       0.571676       0.380000       0.571776       0.571676    
   0.400000       0.596165       0.596063       0.400000       0.596165       0.596063    
   0.420000       0.619780       0.619676       0.420000       0.619780       0.619676    
   0.440000       0.642607       0.642501       0.440000       0.642607       0.642501    
   0.460000       0.664634       0.664527       0.460000       0.664634       0.664527    
   0.480000       0.685853       0.685746       0.480000       0.685853       0.685746    
   0.500000       0.706260       0.706153       0.500000       0.706260       0.706153    
   0.520000       0.725853       0.725746       0.520000       0.725853       0.725746    
   0.540000       0.744634       0.744527       0.540000       0.744634       0.744527    
   0.560000       0.762607       0.762501       0.560000       0.762607       0.762501    
   0.580000       0.779780       0.779676       0.580000       0.779780       0.779676    
   0.600000       0.796165       0.796063       0.600000       0.796165       0.796063    
   0.620000       0.811776       0.811676       0.620000       0.811776       0.811676    
   0.640000       0.826630       0.826533       0.640000       0.826630       0.826533    
   0.660000       0.840747       0.840653       0.660000       0.840747       0.840653    
   0.680000       0.854151       0.854061       0.680000       0.854151       0.854061    
   0.700000       0.866868       0.866781       0.700000       0.866868       0.866781    
   0.720000       0.878926       0.878844       0.720000       0.878926       0.878844    
   0.740000       0.890357       0.890279       0.740000       0.890357       0.890279    
   0.760000       0.901195       0.901121       0.760000       0.901195       0.901121    
   0.780000       0.911475       0.911407       0.780000       0.911475       0.911407    
   0.800000       0.921237       0.921174       0.800000       0.921237       0.921174    
   0.820000       0.930520       0.930462       0.820000       0.930520       0.930462    
   0.840000       0.939367       0.939315       0.840000       0.939367       0.939315    
   0.860000       0.947821       0.947776       0.860000       0.947821       0.947776    
   0.880000       0.955929       0.955890       0.880000       0.955929       0.955890    
   0.900000       0.963738       0.963705       0.900000       0.963738       0.963705    
   0.920000       0.971295       0.971268       0.920000       0.971295       0.971268    
   0.940000       0.978649       0.978629       0.940000       0.978649       0.978629    
   0.960000       0.985851       0.985838       0.960000       0.985851       0.985838    
   0.980000       0.992951       0.992944       0.980000       0.992951       0.992944    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
