#Time=   0.760000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200348E-01   0.200347E-01   0.200000E-01   0.200348E-01   0.200347E-01
   0.400000E-01   0.400694E-01   0.400693E-01   0.400000E-01   0.400694E-01   0.400693E-01
   0.600000E-01   0.601038E-01   0.601035E-01   0.600000E-01   0.601038E-01   0.601035E-01
   0.800000E-01   0.801378E-01   0.801374E-01   0.800000E-01   0.801378E-01   0.801374E-01
   0.100000       0.100171       0.100171       0.100000       0.100171       0.100171    
   0.120000       0.120204       0.120203       0.120000       0.120204       0.120203    
   0.140000       0.140236       0.140235       0.140000       0.140236       0.140235    
   0.160000       0.160267       0.160266       0.160000       0.160267       0.160266    
   0.180000       0.180297       0.180296       0.180000       0.180297       0.180296    
   0.200000       0.200326       0.200325       0.200000       0.200326       0.200325    
   0.220000       0.220353       0.220352       0.220000       0.220353       0.220352    
   0.240000       0.240379       0.240378       0.240000       0.240379       0.240378    
   0.260000       0.260404       0.260403       0.260000       0.260404       0.260403    
   0.280000       0.280427       0.280426       0.280000       0.280427       0.280426    
   0.300000       0.300448       0.300447       0.300000       0.300448       0.300447    
   0.320000       0.320468       0.320467       0.320000       0.320468       0.320467    
   0.340000       0.340485       0.340484       0.340000       0.340485       0.340484    
   0.360000       0.360501       0.360500       0.360000       0.360501       0.360500    
   0.380000       0.380515       0.380514       0.380000       0.380515       0.380514    
   0.400000       0.400527       0.400526       0.400000       0.400527       0.400526    
   0.420000       0.420537       0.420535       0.420000       0.420537       0.420535    
   0.440000       0.440544       0.440543       0.440000       0.440544       0.440543    
   0.460000       0.460550       0.460548       0.460000       0.460550       0.460548    
   0.480000       0.480553       0.480551       0.480000       0.480553       0.480551    
   0.500000       0.500554       0.500553       0.500000       0.500554       0.500553    
   0.520000       0.520553       0.520551       0.520000       0.520553       0.520551    
   0.540000       0.540550       0.540548       0.540000       0.540550       0.540548    
   0.560000       0.560544       0.560543       0.560000       0.560544       0.560543    
   0.580000       0.580537       0.580535       0.580000       0.580537       0.580535    
   0.600000       0.600527       0.600526       0.600000       0.600527       0.600526    
   0.620000       0.620515       0.620514       0.620000       0.620515       0.620514    
   0.640000       0.640501       0.640500       0.640000       0.640501       0.640500    
   0.660000       0.660485       0.660484       0.660000       0.660485       0.660484    
   0.680000       0.680468       0.680467       0.680000       0.680468       0.680467    
   0.700000       0.700448       0.700447       0.700000       0.700448       0.700447    
   0.720000       0.720427       0.720426       0.720000       0.720427       0.720426    
   0.740000       0.740404       0.740403       0.740000       0.740404       0.740403    
   0.760000       0.760379       0.760378       0.760000       0.760379       0.760378    
   0.780000       0.780353       0.780352       0.780000       0.780353       0.780352    
   0.800000       0.800326       0.800325       0.800000       0.800326       0.800325    
   0.820000       0.820297       0.820296       0.820000       0.820297       0.820296    
   0.840000       0.840267       0.840266       0.840000       0.840267       0.840266    
   0.860000       0.860236       0.860235       0.860000       0.860236       0.860235    
   0.880000       0.880204       0.880203       0.880000       0.880204       0.880203    
   0.900000       0.900171       0.900171       0.900000       0.900171       0.900171    
   0.920000       0.920138       0.920137       0.920000       0.920138       0.920137    
   0.940000       0.940104       0.940104       0.940000       0.940104       0.940104    
   0.960000       0.960069       0.960069       0.960000       0.960069       0.960069    
   0.980000       0.980035       0.980035       0.980000       0.980035       0.980035    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
