#Time=   0.200000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.287195E-01   0.287223E-01   0.200000E-01   0.287195E-01   0.287223E-01
   0.400000E-01   0.574045E-01   0.574102E-01   0.400000E-01   0.574045E-01   0.574102E-01
   0.600000E-01   0.860209E-01   0.860294E-01   0.600000E-01   0.860209E-01   0.860294E-01
   0.800000E-01   0.114535       0.114546       0.800000E-01   0.114535       0.114546    
   0.100000       0.142912       0.142926       0.100000       0.142912       0.142926    
   0.120000       0.171120       0.171137       0.120000       0.171120       0.171137    
   0.140000       0.199126       0.199145       0.140000       0.199126       0.199145    
   0.160000       0.226899       0.226921       0.160000       0.226899       0.226921    
   0.180000       0.254408       0.254432       0.180000       0.254408       0.254432    
   0.200000       0.281623       0.281650       0.200000       0.281623       0.281650    
   0.220000       0.308517       0.308545       0.220000       0.308517       0.308545    
   0.240000       0.335060       0.335091       0.240000       0.335060       0.335091    
   0.260000       0.361229       0.361262       0.260000       0.361229       0.361262    
   0.280000       0.386998       0.387033       0.280000       0.386998       0.387033    
   0.300000       0.412345       0.412381       0.300000       0.412345       0.412381    
   0.320000       0.437248       0.437287       0.320000       0.437248       0.437287    
   0.340000       0.461689       0.461729       0.340000       0.461689       0.461729    
   0.360000       0.485650       0.485691       0.360000       0.485650       0.485691    
   0.380000       0.509114       0.509156       0.380000       0.509114       0.509156    
   0.400000       0.532069       0.532112       0.400000       0.532069       0.532112    
   0.420000       0.554503       0.554547       0.420000       0.554503       0.554547    
   0.440000       0.576406       0.576451       0.440000       0.576406       0.576451    
   0.460000       0.597771       0.597816       0.460000       0.597771       0.597816    
   0.480000       0.618592       0.618637       0.480000       0.618592       0.618637    
   0.500000       0.638866       0.638911       0.500000       0.638866       0.638911    
   0.520000       0.658592       0.658637       0.520000       0.658592       0.658637    
   0.540000       0.677771       0.677816       0.540000       0.677771       0.677816    
   0.560000       0.696406       0.696451       0.560000       0.696406       0.696451    
   0.580000       0.714503       0.714547       0.580000       0.714503       0.714547    
   0.600000       0.732069       0.732112       0.600000       0.732069       0.732112    
   0.620000       0.749114       0.749156       0.620000       0.749114       0.749156    
   0.640000       0.765650       0.765691       0.640000       0.765650       0.765691    
   0.660000       0.781689       0.781729       0.660000       0.781689       0.781729    
   0.680000       0.797248       0.797287       0.680000       0.797248       0.797287    
   0.700000       0.812345       0.812381       0.700000       0.812345       0.812381    
   0.720000       0.826998       0.827033       0.720000       0.826998       0.827033    
   0.740000       0.841229       0.841262       0.740000       0.841229       0.841262    
   0.760000       0.855060       0.855091       0.760000       0.855060       0.855091    
   0.780000       0.868517       0.868545       0.780000       0.868517       0.868545    
   0.800000       0.881623       0.881650       0.800000       0.881623       0.881650    
   0.820000       0.894408       0.894432       0.820000       0.894408       0.894432    
   0.840000       0.906899       0.906921       0.840000       0.906899       0.906921    
   0.860000       0.919126       0.919145       0.860000       0.919126       0.919145    
   0.880000       0.931120       0.931137       0.880000       0.931120       0.931137    
   0.900000       0.942912       0.942926       0.900000       0.942912       0.942926    
   0.920000       0.954535       0.954546       0.920000       0.954535       0.954546    
   0.940000       0.966021       0.966029       0.940000       0.966021       0.966029    
   0.960000       0.977405       0.977410       0.960000       0.977405       0.977410    
   0.980000       0.988719       0.988722       0.980000       0.988719       0.988722    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
