#Time=   0.400000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.212108E-01   0.212116E-01   0.200000E-01   0.212108E-01   0.212116E-01
   0.400000E-01   0.424169E-01   0.424185E-01   0.400000E-01   0.424169E-01   0.424185E-01
   0.600000E-01   0.636134E-01   0.636158E-01   0.600000E-01   0.636134E-01   0.636158E-01
   0.800000E-01   0.847957E-01   0.847988E-01   0.800000E-01   0.847957E-01   0.847988E-01
   0.100000       0.105959       0.105963       0.100000       0.105959       0.105963    
   0.120000       0.127099       0.127103       0.120000       0.127099       0.127103    
   0.140000       0.148211       0.148216       0.140000       0.148211       0.148216    
   0.160000       0.169290       0.169296       0.160000       0.169290       0.169296    
   0.180000       0.190333       0.190339       0.180000       0.190333       0.190339    
   0.200000       0.211335       0.211342       0.200000       0.211335       0.211342    
   0.220000       0.232292       0.232300       0.220000       0.232292       0.232300    
   0.240000       0.253201       0.253209       0.240000       0.253201       0.253209    
   0.260000       0.274057       0.274066       0.260000       0.274057       0.274066    
   0.280000       0.294858       0.294868       0.280000       0.294858       0.294868    
   0.300000       0.315601       0.315611       0.300000       0.315601       0.315611    
   0.320000       0.336282       0.336292       0.320000       0.336282       0.336292    
   0.340000       0.356898       0.356909       0.340000       0.356898       0.356909    
   0.360000       0.377448       0.377460       0.360000       0.377448       0.377460    
   0.380000       0.397930       0.397941       0.380000       0.397930       0.397941    
   0.400000       0.418340       0.418352       0.400000       0.418340       0.418352    
   0.420000       0.438678       0.438690       0.420000       0.438678       0.438690    
   0.440000       0.458942       0.458955       0.440000       0.458942       0.458955    
   0.460000       0.479132       0.479144       0.460000       0.479132       0.479144    
   0.480000       0.499246       0.499258       0.480000       0.499246       0.499258    
   0.500000       0.519284       0.519296       0.500000       0.519284       0.519296    
   0.520000       0.539246       0.539258       0.520000       0.539246       0.539258    
   0.540000       0.559132       0.559144       0.540000       0.559132       0.559144    
   0.560000       0.578942       0.578955       0.560000       0.578942       0.578955    
   0.580000       0.598678       0.598690       0.580000       0.598678       0.598690    
   0.600000       0.618340       0.618352       0.600000       0.618340       0.618352    
   0.620000       0.637930       0.637941       0.620000       0.637930       0.637941    
   0.640000       0.657448       0.657460       0.640000       0.657448       0.657460    
   0.660000       0.676898       0.676909       0.660000       0.676898       0.676909    
   0.680000       0.696282       0.696292       0.680000       0.696282       0.696292    
   0.700000       0.715601       0.715611       0.700000       0.715601       0.715611    
   0.720000       0.734858       0.734868       0.720000       0.734858       0.734868    
   0.740000       0.754057       0.754066       0.740000       0.754057       0.754066    
   0.760000       0.773201       0.773209       0.760000       0.773201       0.773209    
   0.780000       0.792292       0.792300       0.780000       0.792292       0.792300    
   0.800000       0.811335       0.811342       0.800000       0.811335       0.811342    
   0.820000       0.830333       0.830339       0.820000       0.830333       0.830339    
   0.840000       0.849290       0.849296       0.840000       0.849290       0.849296    
   0.860000       0.868211       0.868216       0.860000       0.868211       0.868216    
   0.880000       0.887099       0.887103       0.880000       0.887099       0.887103    
   0.900000       0.905959       0.905963       0.900000       0.905959       0.905963    
   0.920000       0.924796       0.924799       0.920000       0.924796       0.924799    
   0.940000       0.943613       0.943616       0.940000       0.943613       0.943616    
   0.960000       0.962417       0.962418       0.960000       0.962417       0.962418    
   0.980000       0.981211       0.981212       0.980000       0.981211       0.981212    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
