# Iteration  RMSerrUS  RMSerrSS
   228   0.651220       0.651220    
   229   0.650956       0.650956    
   230   0.650692       0.650692    
   231   0.650429       0.650429    
   232   0.650165       0.650165    
   233   0.649901       0.649901    
   234   0.649638       0.649638    
   235   0.649375       0.649375    
   236   0.649111       0.649111    
   237   0.648848       0.648848    
   238   0.648585       0.648585    
   239   0.648322       0.648322    
   240   0.648060       0.648060    
   241   0.647797       0.647797    
   242   0.647534       0.647534    
   243   0.647272       0.647272    
   244   0.647010       0.647010    
   245   0.646747       0.646747    
   246   0.646485       0.646485    
   247   0.646223       0.646223    
   248   0.645961       0.645961    
   249   0.645699       0.645699    
   250   0.645438       0.645438    
   251   0.645176       0.645176    
   252   0.644914       0.644914    
   253   0.644653       0.644653    
   254   0.644392       0.644392    
   255   0.644131       0.644131    
   256   0.643869       0.643869    
   257   0.643608       0.643608    
   258   0.643348       0.643348    
   259   0.643087       0.643087    
   260   0.642826       0.642826    
   261   0.642566       0.642566    
   262   0.642305       0.642305    
   263   0.642045       0.642045    
   264   0.641785       0.641785    
   265   0.641524       0.641524    
   266   0.641264       0.641264    
   267   0.641004       0.641004    
   268   0.640745       0.640745    
   269   0.640485       0.640485    
   270   0.640225       0.640225    
   271   0.639966       0.639966    
   272   0.639706       0.639706    
   273   0.639447       0.639447    
   274   0.639188       0.639188    
   275   0.638929       0.638929    
   276   0.638670       0.638670    
   277   0.638411       0.638411    
   278   0.638152       0.638152    
   279   0.637894       0.637894    
   280   0.637635       0.637635    
   281   0.637377       0.637377    
   282   0.637118       0.637118    
   283   0.636860       0.636860    
   284   0.636602       0.636602    
   285   0.636344       0.636344    
   286   0.636086       0.636086    
   287   0.635828       0.635828    
   288   0.635570       0.635570    
   289   0.635313       0.635313    
   290   0.635055       0.635055    
   291   0.634798       0.634798    
   292   0.634540       0.634540    
   293   0.634283       0.634283    
   294   0.634026       0.634026    
   295   0.633769       0.633769    
   296   0.633512       0.633512    
   297   0.633255       0.633255    
   298   0.632999       0.632999    
   299   0.632742       0.632742    
   300   0.632486       0.632486    
   301   0.632229       0.632229    
   302   0.631973       0.631973    
   303   0.631717       0.631717    
   304   0.631461       0.631461    
   305   0.631205       0.631205    
   306   0.630949       0.630949    
