#Time=   0.520000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.203732E-01   0.203707E-01   0.200000E-01   0.203732E-01   0.203707E-01
   0.400000E-01   0.407449E-01   0.407399E-01   0.400000E-01   0.407449E-01   0.407399E-01
   0.600000E-01   0.611137E-01   0.611062E-01   0.600000E-01   0.611137E-01   0.611062E-01
   0.800000E-01   0.814781E-01   0.814682E-01   0.800000E-01   0.814781E-01   0.814682E-01
   0.100000       0.101837       0.101824       0.100000       0.101837       0.101824    
   0.120000       0.122188       0.122173       0.120000       0.122188       0.122173    
   0.140000       0.142531       0.142514       0.140000       0.142531       0.142514    
   0.160000       0.162863       0.162844       0.160000       0.162863       0.162844    
   0.180000       0.183185       0.183163       0.180000       0.183185       0.183163    
   0.200000       0.203494       0.203470       0.200000       0.203494       0.203470    
   0.220000       0.223789       0.223763       0.220000       0.223789       0.223763    
   0.240000       0.244069       0.244041       0.240000       0.244069       0.244041    
   0.260000       0.264333       0.264304       0.260000       0.264333       0.264304    
   0.280000       0.284580       0.284549       0.280000       0.284580       0.284549    
   0.300000       0.304808       0.304776       0.300000       0.304808       0.304776    
   0.320000       0.325018       0.324985       0.320000       0.325018       0.324985    
   0.340000       0.345208       0.345173       0.340000       0.345208       0.345173    
   0.360000       0.365378       0.365342       0.360000       0.365378       0.365342    
   0.380000       0.385526       0.385489       0.380000       0.385526       0.385489    
   0.400000       0.405653       0.405615       0.400000       0.405653       0.405615    
   0.420000       0.425757       0.425718       0.420000       0.425757       0.425718    
   0.440000       0.445838       0.445799       0.440000       0.445838       0.445799    
   0.460000       0.465897       0.465857       0.460000       0.465897       0.465857    
   0.480000       0.485932       0.485892       0.480000       0.485932       0.485892    
   0.500000       0.505944       0.505904       0.500000       0.505944       0.505904    
   0.520000       0.525932       0.525892       0.520000       0.525932       0.525892    
   0.540000       0.545897       0.545857       0.540000       0.545897       0.545857    
   0.560000       0.565838       0.565799       0.560000       0.565838       0.565799    
   0.580000       0.585757       0.585718       0.580000       0.585757       0.585718    
   0.600000       0.605653       0.605615       0.600000       0.605653       0.605615    
   0.620000       0.625526       0.625489       0.620000       0.625526       0.625489    
   0.640000       0.645378       0.645342       0.640000       0.645378       0.645342    
   0.660000       0.665208       0.665173       0.660000       0.665208       0.665173    
   0.680000       0.685018       0.684985       0.680000       0.685018       0.684985    
   0.700000       0.704808       0.704776       0.700000       0.704808       0.704776    
   0.720000       0.724580       0.724549       0.720000       0.724580       0.724549    
   0.740000       0.744333       0.744304       0.740000       0.744333       0.744304    
   0.760000       0.764069       0.764041       0.760000       0.764069       0.764041    
   0.780000       0.783789       0.783763       0.780000       0.783789       0.783763    
   0.800000       0.803494       0.803470       0.800000       0.803494       0.803470    
   0.820000       0.823185       0.823163       0.820000       0.823185       0.823163    
   0.840000       0.842863       0.842844       0.840000       0.842863       0.842844    
   0.860000       0.862531       0.862514       0.860000       0.862531       0.862514    
   0.880000       0.882188       0.882173       0.880000       0.882188       0.882173    
   0.900000       0.901837       0.901824       0.900000       0.901837       0.901824    
   0.920000       0.921478       0.921468       0.920000       0.921478       0.921468    
   0.940000       0.941114       0.941106       0.940000       0.941114       0.941106    
   0.960000       0.960745       0.960740       0.960000       0.960745       0.960740    
   0.980000       0.980373       0.980371       0.980000       0.980373       0.980371    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
