#Time=   0.720000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200520E-01   0.200515E-01   0.200000E-01   0.200520E-01   0.200515E-01
   0.400000E-01   0.401037E-01   0.401028E-01   0.400000E-01   0.401037E-01   0.401028E-01
   0.600000E-01   0.601551E-01   0.601537E-01   0.600000E-01   0.601551E-01   0.601537E-01
   0.800000E-01   0.802059E-01   0.802039E-01   0.800000E-01   0.802059E-01   0.802039E-01
   0.100000       0.100256       0.100253       0.100000       0.100256       0.100253    
   0.120000       0.120305       0.120302       0.120000       0.120305       0.120302    
   0.140000       0.140352       0.140349       0.140000       0.140352       0.140349    
   0.160000       0.160399       0.160395       0.160000       0.160399       0.160395    
   0.180000       0.180444       0.180439       0.180000       0.180444       0.180439    
   0.200000       0.200487       0.200482       0.200000       0.200487       0.200482    
   0.220000       0.220528       0.220523       0.220000       0.220528       0.220523    
   0.240000       0.240567       0.240561       0.240000       0.240567       0.240561    
   0.260000       0.260603       0.260598       0.260000       0.260603       0.260598    
   0.280000       0.280638       0.280632       0.280000       0.280638       0.280632    
   0.300000       0.300670       0.300663       0.300000       0.300670       0.300663    
   0.320000       0.320699       0.320692       0.320000       0.320699       0.320692    
   0.340000       0.340725       0.340719       0.340000       0.340725       0.340719    
   0.360000       0.360749       0.360742       0.360000       0.360749       0.360742    
   0.380000       0.380770       0.380762       0.380000       0.380770       0.380762    
   0.400000       0.400787       0.400780       0.400000       0.400787       0.400780    
   0.420000       0.420802       0.420794       0.420000       0.420802       0.420794    
   0.440000       0.440813       0.440806       0.440000       0.440813       0.440806    
   0.460000       0.460821       0.460814       0.460000       0.460821       0.460814    
   0.480000       0.480826       0.480818       0.480000       0.480826       0.480818    
   0.500000       0.500828       0.500820       0.500000       0.500828       0.500820    
   0.520000       0.520826       0.520818       0.520000       0.520826       0.520818    
   0.540000       0.540821       0.540814       0.540000       0.540821       0.540814    
   0.560000       0.560813       0.560806       0.560000       0.560813       0.560806    
   0.580000       0.580802       0.580794       0.580000       0.580802       0.580794    
   0.600000       0.600787       0.600780       0.600000       0.600787       0.600780    
   0.620000       0.620770       0.620762       0.620000       0.620770       0.620762    
   0.640000       0.640749       0.640742       0.640000       0.640749       0.640742    
   0.660000       0.660725       0.660719       0.660000       0.660725       0.660719    
   0.680000       0.680699       0.680692       0.680000       0.680699       0.680692    
   0.700000       0.700670       0.700663       0.700000       0.700670       0.700663    
   0.720000       0.720638       0.720632       0.720000       0.720638       0.720632    
   0.740000       0.740603       0.740598       0.740000       0.740603       0.740598    
   0.760000       0.760567       0.760561       0.760000       0.760567       0.760561    
   0.780000       0.780528       0.780523       0.780000       0.780528       0.780523    
   0.800000       0.800487       0.800482       0.800000       0.800487       0.800482    
   0.820000       0.820444       0.820439       0.820000       0.820444       0.820439    
   0.840000       0.840399       0.840395       0.840000       0.840399       0.840395    
   0.860000       0.860352       0.860349       0.860000       0.860352       0.860349    
   0.880000       0.880305       0.880302       0.880000       0.880305       0.880302    
   0.900000       0.900256       0.900253       0.900000       0.900256       0.900253    
   0.920000       0.920206       0.920204       0.920000       0.920206       0.920204    
   0.940000       0.940155       0.940154       0.940000       0.940155       0.940154    
   0.960000       0.960104       0.960103       0.960000       0.960104       0.960103    
   0.980000       0.980052       0.980051       0.980000       0.980052       0.980051    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
