# Iteration  RMSerrUS  RMSerrSS
     1   0.184896E-05   0.712879    
     2   0.369063E-05   0.711475    
     3   0.552503E-05   0.710074    
     4   0.735219E-05   0.708675    
     5   0.917213E-05   0.707280    
     6   0.109849E-04   0.705887    
     7   0.127904E-04   0.704497    
     8   0.145888E-04   0.703109    
     9   0.163801E-04   0.701725    
    10   0.181642E-04   0.700343    
    11   0.199413E-04   0.698963    
    12   0.217112E-04   0.697587    
    13   0.234741E-04   0.696213    
    14   0.252300E-04   0.694842    
    15   0.269789E-04   0.693474    
    16   0.287208E-04   0.692108    
    17   0.304557E-04   0.690745    
    18   0.321837E-04   0.689384    
    19   0.339047E-04   0.688027    
    20   0.356188E-04   0.686672    
    21   0.373261E-04   0.685320    
    22   0.390264E-04   0.683970    
    23   0.407200E-04   0.682623    
    24   0.424067E-04   0.681279    
    25   0.440865E-04   0.679937    
    26   0.457597E-04   0.678598    
    27   0.474260E-04   0.677261    
    28   0.490856E-04   0.675928    
    29   0.507385E-04   0.674596    
    30   0.523846E-04   0.673268    
    31   0.540241E-04   0.671942    
    32   0.556569E-04   0.670619    
    33   0.572831E-04   0.669298    
    34   0.589026E-04   0.667980    
    35   0.605156E-04   0.666664    
    36   0.621219E-04   0.665351    
    37   0.637217E-04   0.664041    
    38   0.653149E-04   0.662733    
    39   0.669017E-04   0.661428    
    40   0.684819E-04   0.660125    
    41   0.700556E-04   0.658825    
    42   0.716228E-04   0.657528    
    43   0.731836E-04   0.656233    
    44   0.747380E-04   0.654941    
    45   0.762860E-04   0.653651    
    46   0.778275E-04   0.652364    
    47   0.793627E-04   0.651079    
    48   0.808916E-04   0.649797    
    49   0.824141E-04   0.648517    
    50   0.839303E-04   0.647240    
    51   0.854402E-04   0.645965    
    52   0.869438E-04   0.644693    
    53   0.884411E-04   0.643423    
    54   0.899323E-04   0.642156    
    55   0.914172E-04   0.640891    
    56   0.928959E-04   0.639629    
    57   0.943684E-04   0.638370    
    58   0.958347E-04   0.637112    
    59   0.972950E-04   0.635858    
    60   0.987490E-04   0.634605    
    61   0.100197E-03   0.633356    
    62   0.101639E-03   0.632108    
    63   0.103075E-03   0.630863    
    64   0.104504E-03   0.629621    
    65   0.105928E-03   0.628381    
    66   0.107346E-03   0.627144    
    67   0.108758E-03   0.625908    
    68   0.110163E-03   0.624676    
    69   0.111563E-03   0.623446    
    70   0.112957E-03   0.622218    
    71   0.114345E-03   0.620992    
    72   0.115727E-03   0.619769    
    73   0.117103E-03   0.618549    
    74   0.118473E-03   0.617331    
    75   0.119837E-03   0.616115    
    76   0.121196E-03   0.614902    
    77   0.122549E-03   0.613691    
    78   0.123896E-03   0.612482    
    79   0.125237E-03   0.611276    
    80   0.126572E-03   0.610072    
    81   0.127902E-03   0.608870    
    82   0.129225E-03   0.607671    
    83   0.130544E-03   0.606475    
    84   0.131856E-03   0.605280    
    85   0.133163E-03   0.604088    
    86   0.134464E-03   0.602899    
    87   0.135759E-03   0.601711    
    88   0.137049E-03   0.600526    
    89   0.138333E-03   0.599344    
    90   0.139612E-03   0.598163    
    91   0.140885E-03   0.596985    
    92   0.142153E-03   0.595809    
    93   0.143415E-03   0.594636    
    94   0.144671E-03   0.593465    
    95   0.145922E-03   0.592296    
    96   0.147167E-03   0.591130    
    97   0.148407E-03   0.589966    
    98   0.149642E-03   0.588804    
    99   0.150871E-03   0.587644    
   100   0.152095E-03   0.586487    
   101   0.153313E-03   0.585332    
   102   0.154526E-03   0.584179    
   103   0.155733E-03   0.583029    
   104   0.156935E-03   0.581880    
   105   0.158132E-03   0.580735    
   106   0.159323E-03   0.579591    
   107   0.160509E-03   0.578449    
   108   0.161690E-03   0.577310    
   109   0.162866E-03   0.576173    
   110   0.164036E-03   0.575039    
   111   0.165201E-03   0.573906    
   112   0.166361E-03   0.572776    
   113   0.167515E-03   0.571648    
   114   0.168665E-03   0.570522    
   115   0.169809E-03   0.569398    
   116   0.170948E-03   0.568277    
   117   0.172082E-03   0.567158    
   118   0.173211E-03   0.566041    
   119   0.174334E-03   0.564926    
   120   0.175453E-03   0.563814    
   121   0.176566E-03   0.562703    
   122   0.177675E-03   0.561595    
   123   0.178778E-03   0.560489    
   124   0.179877E-03   0.559385    
   125   0.180970E-03   0.558284    
   126   0.182058E-03   0.557184    
   127   0.183141E-03   0.556087    
   128   0.184220E-03   0.554992    
   129   0.185293E-03   0.553899    
   130   0.186361E-03   0.552808    
   131   0.187425E-03   0.551719    
   132   0.188483E-03   0.550633    
   133   0.189537E-03   0.549548    
   134   0.190586E-03   0.548466    
   135   0.191630E-03   0.547386    
   136   0.192669E-03   0.546308    
   137   0.193703E-03   0.545232    
   138   0.194732E-03   0.544158    
   139   0.195757E-03   0.543086    
   140   0.196777E-03   0.542017    
   141   0.197792E-03   0.540949    
   142   0.198802E-03   0.539884    
   143   0.199807E-03   0.538821    
   144   0.200808E-03   0.537760    
   145   0.201804E-03   0.536701    
   146   0.202795E-03   0.535644    
   147   0.203782E-03   0.534589    
   148   0.204764E-03   0.533536    
   149   0.205741E-03   0.532485    
   150   0.206714E-03   0.531437    
   151   0.207682E-03   0.530390    
   152   0.208645E-03   0.529345    
   153   0.209604E-03   0.528303    
   154   0.210558E-03   0.527263    
   155   0.211508E-03   0.526224    
   156   0.212453E-03   0.525188    
   157   0.213394E-03   0.524154    
   158   0.214330E-03   0.523121    
   159   0.215261E-03   0.522091    
   160   0.216188E-03   0.521063    
   161   0.217110E-03   0.520037    
   162   0.218028E-03   0.519013    
   163   0.218942E-03   0.517990    
   164   0.219851E-03   0.516970    
   165   0.220756E-03   0.515952    
   166   0.221656E-03   0.514936    
   167   0.222552E-03   0.513922    
   168   0.223443E-03   0.512910    
   169   0.224330E-03   0.511900    
   170   0.225213E-03   0.510892    
   171   0.226091E-03   0.509885    
   172   0.226965E-03   0.508881    
   173   0.227835E-03   0.507879    
   174   0.228700E-03   0.506879    
   175   0.229562E-03   0.505881    
   176   0.230418E-03   0.504884    
   177   0.231271E-03   0.503890    
   178   0.232119E-03   0.502898    
   179   0.232963E-03   0.501907    
   180   0.233803E-03   0.500919    
   181   0.234639E-03   0.499932    
   182   0.235470E-03   0.498948    
   183   0.236297E-03   0.497965    
   184   0.237120E-03   0.496984    
   185   0.237939E-03   0.496006    
   186   0.238754E-03   0.495029    
   187   0.239564E-03   0.494054    
   188   0.240371E-03   0.493081    
   189   0.241173E-03   0.492110    
   190   0.241972E-03   0.491141    
   191   0.242766E-03   0.490174    
   192   0.243556E-03   0.489208    
   193   0.244342E-03   0.488245    
   194   0.245124E-03   0.487283    
   195   0.245902E-03   0.486324    
   196   0.246676E-03   0.485366    
   197   0.247446E-03   0.484410    
   198   0.248212E-03   0.483456    
   199   0.248974E-03   0.482504    
   200   0.249732E-03   0.481554    
   201   0.250486E-03   0.480605    
   202   0.251236E-03   0.479659    
   203   0.251982E-03   0.478714    
   204   0.252724E-03   0.477771    
   205   0.253463E-03   0.476830    
   206   0.254197E-03   0.475891    
   207   0.254928E-03   0.474954    
   208   0.255654E-03   0.474019    
   209   0.256377E-03   0.473085    
   210   0.257096E-03   0.472154    
   211   0.257812E-03   0.471224    
   212   0.258523E-03   0.470296    
   213   0.259231E-03   0.469370    
   214   0.259934E-03   0.468445    
   215   0.260634E-03   0.467523    
   216   0.261331E-03   0.466602    
   217   0.262023E-03   0.465683    
   218   0.262712E-03   0.464766    
   219   0.263397E-03   0.463851    
   220   0.264078E-03   0.462937    
   221   0.264756E-03   0.462025    
   222   0.265430E-03   0.461115    
   223   0.266100E-03   0.460207    
   224   0.266766E-03   0.459301    
   225   0.267429E-03   0.458396    
   226   0.268088E-03   0.457494    
   227   0.268744E-03   0.456593    
   228   0.269396E-03   0.455693    
   229   0.270044E-03   0.454796    
   230   0.270689E-03   0.453900    
   231   0.271330E-03   0.453006    
   232   0.271968E-03   0.452114    
   233   0.272602E-03   0.451224    
   234   0.273232E-03   0.450335    
   235   0.273859E-03   0.449448    
   236   0.274482E-03   0.448563    
   237   0.275102E-03   0.447680    
   238   0.275719E-03   0.446798    
   239   0.276331E-03   0.445918    
   240   0.276941E-03   0.445040    
   241   0.277547E-03   0.444164    
   242   0.278149E-03   0.443289    
   243   0.278748E-03   0.442416    
   244   0.279344E-03   0.441545    
   245   0.279936E-03   0.440675    
   246   0.280524E-03   0.439807    
   247   0.281110E-03   0.438941    
   248   0.281691E-03   0.438077    
   249   0.282270E-03   0.437214    
   250   0.282845E-03   0.436353    
   251   0.283417E-03   0.435494    
