#Time=   0.720000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.200513E-01   0.200515E-01   0.200000E-01   0.200513E-01   0.200515E-01
   0.400000E-01   0.401023E-01   0.401028E-01   0.400000E-01   0.401023E-01   0.401028E-01
   0.600000E-01   0.601529E-01   0.601537E-01   0.600000E-01   0.601529E-01   0.601537E-01
   0.800000E-01   0.802030E-01   0.802039E-01   0.800000E-01   0.802030E-01   0.802039E-01
   0.100000       0.100252       0.100253       0.100000       0.100252       0.100253    
   0.120000       0.120300       0.120302       0.120000       0.120300       0.120302    
   0.140000       0.140348       0.140349       0.140000       0.140348       0.140349    
   0.160000       0.160393       0.160395       0.160000       0.160393       0.160395    
   0.180000       0.180437       0.180439       0.180000       0.180437       0.180439    
   0.200000       0.200480       0.200482       0.200000       0.200480       0.200482    
   0.220000       0.220520       0.220523       0.220000       0.220520       0.220523    
   0.240000       0.240559       0.240561       0.240000       0.240559       0.240561    
   0.260000       0.260595       0.260598       0.260000       0.260595       0.260598    
   0.280000       0.280629       0.280632       0.280000       0.280629       0.280632    
   0.300000       0.300660       0.300663       0.300000       0.300660       0.300663    
   0.320000       0.320689       0.320692       0.320000       0.320689       0.320692    
   0.340000       0.340715       0.340719       0.340000       0.340715       0.340719    
   0.360000       0.360739       0.360742       0.360000       0.360739       0.360742    
   0.380000       0.380759       0.380762       0.380000       0.380759       0.380762    
   0.400000       0.400776       0.400780       0.400000       0.400776       0.400780    
   0.420000       0.420791       0.420794       0.420000       0.420791       0.420794    
   0.440000       0.440802       0.440806       0.440000       0.440802       0.440806    
   0.460000       0.460810       0.460814       0.460000       0.460810       0.460814    
   0.480000       0.480815       0.480818       0.480000       0.480815       0.480818    
   0.500000       0.500816       0.500820       0.500000       0.500816       0.500820    
   0.520000       0.520815       0.520818       0.520000       0.520815       0.520818    
   0.540000       0.540810       0.540814       0.540000       0.540810       0.540814    
   0.560000       0.560802       0.560806       0.560000       0.560802       0.560806    
   0.580000       0.580791       0.580794       0.580000       0.580791       0.580794    
   0.600000       0.600776       0.600780       0.600000       0.600776       0.600780    
   0.620000       0.620759       0.620762       0.620000       0.620759       0.620762    
   0.640000       0.640739       0.640742       0.640000       0.640739       0.640742    
   0.660000       0.660715       0.660719       0.660000       0.660715       0.660719    
   0.680000       0.680689       0.680692       0.680000       0.680689       0.680692    
   0.700000       0.700660       0.700663       0.700000       0.700660       0.700663    
   0.720000       0.720629       0.720632       0.720000       0.720629       0.720632    
   0.740000       0.740595       0.740598       0.740000       0.740595       0.740598    
   0.760000       0.760559       0.760561       0.760000       0.760559       0.760561    
   0.780000       0.780520       0.780523       0.780000       0.780520       0.780523    
   0.800000       0.800480       0.800482       0.800000       0.800480       0.800482    
   0.820000       0.820437       0.820439       0.820000       0.820437       0.820439    
   0.840000       0.840393       0.840395       0.840000       0.840393       0.840395    
   0.860000       0.860348       0.860349       0.860000       0.860348       0.860349    
   0.880000       0.880300       0.880302       0.880000       0.880300       0.880302    
   0.900000       0.900252       0.900253       0.900000       0.900252       0.900253    
   0.920000       0.920203       0.920204       0.920000       0.920203       0.920204    
   0.940000       0.940153       0.940154       0.940000       0.940153       0.940154    
   0.960000       0.960102       0.960103       0.960000       0.960102       0.960103    
   0.980000       0.980051       0.980051       0.980000       0.980051       0.980051    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
