#Time=   0.640000    
#              y              u         u_exac             y'             u'        u'_exac
    0.00000        0.00000        0.00000        0.00000        0.00000        0.00000    
   0.200000E-01   0.201129E-01   0.201134E-01   0.200000E-01   0.201129E-01   0.201134E-01
   0.400000E-01   0.402254E-01   0.402264E-01   0.400000E-01   0.402254E-01   0.402264E-01
   0.600000E-01   0.603370E-01   0.603384E-01   0.600000E-01   0.603370E-01   0.603384E-01
   0.800000E-01   0.804473E-01   0.804492E-01   0.800000E-01   0.804473E-01   0.804492E-01
   0.100000       0.100556       0.100558       0.100000       0.100556       0.100558    
   0.120000       0.120662       0.120665       0.120000       0.120662       0.120665    
   0.140000       0.140766       0.140769       0.140000       0.140766       0.140769    
   0.160000       0.160867       0.160870       0.160000       0.160867       0.160870    
   0.180000       0.180964       0.180968       0.180000       0.180964       0.180968    
   0.200000       0.201057       0.201062       0.200000       0.201057       0.201062    
   0.220000       0.221147       0.221151       0.220000       0.221147       0.221151    
   0.240000       0.241231       0.241236       0.240000       0.241231       0.241236    
   0.260000       0.261311       0.261317       0.260000       0.261311       0.261317    
   0.280000       0.281386       0.281392       0.280000       0.281386       0.281392    
   0.300000       0.301455       0.301461       0.300000       0.301455       0.301461    
   0.320000       0.321519       0.321525       0.320000       0.321519       0.321525    
   0.340000       0.341576       0.341583       0.340000       0.341576       0.341583    
   0.360000       0.361627       0.361634       0.360000       0.361627       0.361634    
   0.380000       0.381672       0.381679       0.380000       0.381672       0.381679    
   0.400000       0.401711       0.401718       0.400000       0.401711       0.401718    
   0.420000       0.421742       0.421749       0.420000       0.421742       0.421749    
   0.440000       0.441767       0.441774       0.440000       0.441767       0.441774    
   0.460000       0.461784       0.461792       0.460000       0.461784       0.461792    
   0.480000       0.481795       0.481803       0.480000       0.481795       0.481803    
   0.500000       0.501799       0.501806       0.500000       0.501799       0.501806    
   0.520000       0.521795       0.521803       0.520000       0.521795       0.521803    
   0.540000       0.541784       0.541792       0.540000       0.541784       0.541792    
   0.560000       0.561767       0.561774       0.560000       0.561767       0.561774    
   0.580000       0.581742       0.581749       0.580000       0.581742       0.581749    
   0.600000       0.601711       0.601718       0.600000       0.601711       0.601718    
   0.620000       0.621672       0.621679       0.620000       0.621672       0.621679    
   0.640000       0.641627       0.641634       0.640000       0.641627       0.641634    
   0.660000       0.661576       0.661583       0.660000       0.661576       0.661583    
   0.680000       0.681519       0.681525       0.680000       0.681519       0.681525    
   0.700000       0.701455       0.701461       0.700000       0.701455       0.701461    
   0.720000       0.721386       0.721392       0.720000       0.721386       0.721392    
   0.740000       0.741311       0.741317       0.740000       0.741311       0.741317    
   0.760000       0.761231       0.761236       0.760000       0.761231       0.761236    
   0.780000       0.781147       0.781151       0.780000       0.781147       0.781151    
   0.800000       0.801057       0.801062       0.800000       0.801057       0.801062    
   0.820000       0.820964       0.820968       0.820000       0.820964       0.820968    
   0.840000       0.840867       0.840870       0.840000       0.840867       0.840870    
   0.860000       0.860766       0.860769       0.860000       0.860766       0.860769    
   0.880000       0.880662       0.880665       0.880000       0.880662       0.880665    
   0.900000       0.900556       0.900558       0.900000       0.900556       0.900558    
   0.920000       0.920447       0.920449       0.920000       0.920447       0.920449    
   0.940000       0.940337       0.940338       0.940000       0.940337       0.940338    
   0.960000       0.960225       0.960226       0.960000       0.960225       0.960226    
   0.980000       0.980113       0.980113       0.980000       0.980113       0.980113    
    1.00000        1.00000        1.00000        1.00000        1.00000        1.00000    
