0.0002		0.345497E-03	0.863658E-04
0.000625	0.894559E-03	0.856183E-04
0.00125		0.169854E-02	0.831203E-04
0.0025		0.329430E-02	0.731227E-04
0.005		0.643658E-02	0.331436E-04
0.01		0.125364E-01	0.126926E-03
0.02		0.240539E-01	0.769763E-03
0.05		0.540879E-01	0.538846E-02
0.1		0.933255E-01	0.238631E-01
1		0.656967E-01	0.473546
10		0.716697E-02	0.685903
100		0.723228E-03	0.711396
1000		0.723888E-04	0.713996
